Pasajeros_por_dia,Viajes_por_dia,Tipo_de_Taxi,DiaSemana,avg_temperature
158414,119977,green,Viernes,15.216666666666667
186214,132893,green,Sábado,18.708333333333332
157273,116016,green,Domingo,11.820833333333333
113634,84078,green,Lunes,5.4750000000000005
121708,92818,green,Martes,3.9416666666666664
124938,94732,green,Miércoles,7.9375
129455,97458,green,Jueves,4.6625000000000005
132741,97695,green,Viernes,2.6458333333333335
137973,96767,green,Sábado,1.4083333333333332
116211,82719,green,Domingo,0.4916666666666667
143966,110717,green,Lunes,-0.5708333333333334
151500,116825,green,Martes,3.3041666666666667
147759,107922,green,Miércoles,4.516666666666667
100886,71200,green,Jueves,4.2
130702,88323,green,Viernes,6.429166666666667
150155,101256,green,Sábado,6.408333333333334
128665,92095,green,Domingo,7.075
140814,108743,green,Lunes,10.475
155019,121600,green,Martes,3.783333333333333
151498,120064,green,Miércoles,6.933333333333334
172406,133254,green,Jueves,3.9416666666666664
180108,132401,green,Viernes,1.1333333333333333
186396,131189,green,Sábado,8.0
158954,113404,green,Domingo,4.366666666666666
151637,115861,green,Lunes,1.9875
154645,122432,green,Martes,7.558333333333334
163292,128053,green,Miércoles,12.333333333333334
176038,136590,green,Jueves,9.804166666666667
184434,138001,green,Viernes,4.279166666666667
184218,131658,green,Sábado,1.5708333333333335
152659,109617,green,Domingo,3.391666666666667
150082,114800,green,Lunes,1.5833333333333333
161730,126610,green,Martes,-0.7083333333333334
167430,131862,green,Miércoles,-0.19166666666666662
170682,133837,green,Jueves,1.1041666666666667
170739,130452,green,Viernes,5.233333333333333
180644,127692,green,Sábado,3.1041666666666665
145660,104666,green,Domingo,0.2791666666666667
155848,115253,green,Lunes,-0.15416666666666667
159904,118906,green,Martes,-0.10416666666666667
157312,116515,green,Miércoles,-1.1833333333333333
143797,105723,green,Jueves,1.7125000000000001
135439,97847,green,Viernes,6.670833333333333
112715,77471,green,Sábado,-10.708333333333334
76790,51377,green,Domingo,-6.8999999999999995
105402,69144,green,Lunes,-5.270833333333333
130756,88415,green,Martes,-2.2375000000000003
134582,91208,green,Miércoles,-0.02083333333333337
141969,95765,green,Jueves,1.5291666666666668
139685,94809,green,Viernes,4.554166666666666
126915,87213,green,Sábado,6.504166666666666
115777,78220,green,Domingo,9.458333333333334
98777,67341,green,Lunes,6.591666666666666
118017,87908,green,Martes,9.429166666666667
129265,97475,green,Miércoles,13.475
136910,103480,green,Jueves,10.666666666666666
141798,105096,green,Viernes,6.595833333333334
153375,107190,green,Sábado,3.1
121006,86715,green,Domingo,1.1166666666666667
112134,87568,green,Lunes,2.0833333333333335
130023,102087,green,Martes,1.5833333333333333
138699,108605,green,Miércoles,1.1083333333333334
144936,113913,green,Jueves,3.475
152099,113269,green,Viernes,9.954166666666667
164122,115119,green,Sábado,1.7291666666666667
139810,98620,green,Domingo,0.8833333333333333
110366,81704,green,Lunes,1.1125
130699,103298,green,Martes,1.3791666666666667
137202,108493,green,Miércoles,5.8625
147497,117238,green,Jueves,3.3249999999999997
147457,111913,green,Viernes,5.470833333333334
159723,114139,green,Sábado,3.466666666666667
125634,91425,green,Domingo,1.6916666666666667
116557,92183,green,Lunes,2.983333333333333
134091,106271,green,Martes,1.9000000000000001
138893,111875,green,Miércoles,0.9291666666666667
148913,117509,green,Jueves,7.641666666666667
151040,114098,green,Viernes,1.8291666666666666
159535,113708,green,Sábado,2.7375000000000003
122975,89807,green,Domingo,4.183333333333333
108691,86004,green,Lunes,6.066666666666666
128847,102691,green,Martes,3.904166666666667
138083,110341,green,Miércoles,0.5875
145465,115653,green,Jueves,-0.3958333333333333
151304,117922,green,Viernes,-2.654166666666667
137694,100084,green,Sábado,-10.441666666666666
117039,85822,green,Domingo,-0.08333333333333327
118681,93340,green,Lunes,3.3333333333333335
136067,108559,green,Martes,0.5291666666666667
139741,110966,green,Miércoles,4.208333333333333
148133,117766,green,Jueves,3.4916666666666667
154272,116962,green,Viernes,10.804166666666667
164346,116690,green,Sábado,4.154166666666667
131819,96304,green,Domingo,2.0833333333333335
122630,95187,green,Lunes,5.329166666666667
142867,110810,green,Martes,6.195833333333333
144152,113203,green,Miércoles,7.841666666666666
145275,115438,green,Jueves,11.85
152185,114413,green,Viernes,11.5375
154469,107399,green,Sábado,1.4541666666666666
130643,91804,green,Domingo,3.3166666666666664
111838,81361,green,Lunes,8.137500000000001
131806,102202,green,Martes,5.3374999999999995
146132,113351,green,Miércoles,2.45
151534,117763,green,Jueves,4.083333333333333
157206,118173,green,Viernes,4.870833333333334
162155,115662,green,Sábado,-2.5
128581,92862,green,Domingo,0.4708333333333334
121413,95391,green,Lunes,1.2666666666666666
130393,103367,green,Martes,1.225
148343,117920,green,Miércoles,0.1666666666666667
153544,121527,green,Jueves,6.041666666666667
156585,119146,green,Viernes,3.15
160560,115387,green,Sábado,5.054166666666666
135534,98866,green,Domingo,4.979166666666667
122503,95870,green,Lunes,5.325
147281,116398,green,Martes,4.016666666666667
153508,119941,green,Miércoles,1.7833333333333332
158169,124310,green,Jueves,3.654166666666667
163259,124353,green,Viernes,2.9416666666666664
159732,113470,green,Sábado,4.333333333333333
134948,96911,green,Domingo,3.0749999999999997
132760,102921,green,Lunes,4.220833333333333
141010,110016,green,Martes,2.4250000000000003
156618,122625,green,Miércoles,2.5875
163122,126711,green,Jueves,4.345833333333333
154464,115196,green,Viernes,7.429166666666667
174945,123782,green,Sábado,8.25
141565,102402,green,Domingo,2.591666666666667
120113,93800,green,Lunes,2.3874999999999997
132572,104130,green,Martes,5.991666666666667
137014,108318,green,Miércoles,7.458333333333333
148828,116395,green,Jueves,9.525
150894,113431,green,Viernes,8.979166666666666
164698,117633,green,Sábado,5.7124999999999995
133820,95819,green,Domingo,8.733333333333333
127071,98757,green,Lunes,7.545833333333333
135739,106454,green,Martes,6.8
145499,113684,green,Miércoles,5.795833333333333
156103,121822,green,Jueves,4.1625000000000005
157419,117704,green,Viernes,5.2625
168560,119000,green,Sábado,14.5875
143742,101699,green,Domingo,7.95
130865,99218,green,Lunes,6.591666666666666
145934,110878,green,Martes,12.779166666666667
155487,118031,green,Miércoles,11.6625
149802,110411,green,Jueves,16.545833333333334
153392,108208,green,Viernes,12.424999999999999
151910,103519,green,Sábado,6.629166666666666
131003,90320,green,Domingo,7.008333333333333
124103,92021,green,Lunes,8.066666666666666
141302,107152,green,Martes,13.041666666666666
152163,115443,green,Miércoles,18.904166666666665
164397,124390,green,Jueves,20.341666666666665
172212,126358,green,Viernes,21.483333333333334
171071,121038,green,Sábado,18.675
140731,100308,green,Domingo,16.583333333333332
128855,100100,green,Lunes,14.362499999999999
149251,117368,green,Martes,12.420833333333334
151518,119935,green,Miércoles,10.170833333333333
164304,128199,green,Jueves,11.183333333333332
156761,118829,green,Viernes,12.891666666666666
167842,120085,green,Sábado,14.779166666666667
136917,99780,green,Domingo,15.408333333333333
131276,102134,green,Lunes,11.362499999999999
146613,115269,green,Martes,9.841666666666667
155402,122663,green,Miércoles,10.066666666666666
162609,127014,green,Jueves,10.408333333333333
166392,125848,green,Viernes,9.679166666666667
154698,112432,green,Sábado,9.770833333333334
130105,95981,green,Domingo,12.004166666666668
1,1,yellow,Lunes,12.879166666666668
29,23,yellow,Martes,10.1
29,22,yellow,Miércoles,9.395833333333334
